id_customer; id_products; payment (pedido gratuito= 1 , tarjeta credito=2)
2;98:1;2
3;98:1;2
4;98:1;2
5;98:1;2
6;98:1;2
9;98:1;2
10;98:1;2
28;98:1;2
34;98:1;2
44;98:1;2
45;98:1;2
52;98:1;2
59;98:1;2
63;98:1;2
64;98:1;2
66;98:1;2
72;98:1;2
76;98:1;2
85;98:1;2
86;98:1;2
87;98:1;2
89;98:1;2
92;98:1;2
98;98:1;2
99;98:1;2
100;98:1;2
102;98:1;2
105;98:1;2
106;98:1;2
108;98:1;2
110;98:1;2
111;98:1;2
112;98:1;2
114;98:1;2
115;98:1;2
117;98:1;2
119;98:1;2
120;98:1;2
121;98:1;2
122;98:1;2
124;98:1;2
125;98:1;2
126;98:1;2
128;98:1;2
130;98:1;2
135;98:1;2
138;98:1;2
141;98:1;2
143;98:1;2
146;98:1;2
166;98:1;2
170;98:1;2
189;98:1;2
190;98:1;2
194;98:1;2
209;98:1;2
211;98:1;2
228;98:1;2
247;98:1;2
277;98:1;2
281;98:1;2
292;98:1;2
314;98:1;2
342;98:1;2
345;98:1;2
349;98:1;2
355;98:1;2
358;98:1;2
359;98:1;2
360;98:1;2
364;98:1;2
365;98:1;2
366;98:1;2
367;98:1;2
368;98:1;2
369;98:1;2
370;98:1;2
371;98:1;2
372;98:1;2
373;98:1;2
374;98:1;2
375;98:1;2
376;98:1;2
377;98:1;2
379;98:1;2
380;98:1;2
381;98:1;2
382;98:1;2
383;98:1;2
385;98:1;2
386;98:1;2
387;98:1;2
394;98:1;2
397;98:1;2
398;98:1;2
399;98:1;2
432;98:1;2
433;98:1;2
434;98:1;2
435;98:1;2
436;98:1;2
437;98:1;2
438;98:1;2
439;98:1;2
440;98:1;2
447;98:1;2
451;98:1;2
465;98:1;2
467;98:1;2
470;98:1;2
474;98:1;2
476;98:1;2
480;98:1;2
481;98:1;2
482;98:1;2
483;98:1;2
484;98:1;2
497;98:1;2
514;98:1;2
528;98:1;2
529;98:1;2
530;98:1;2
532;98:1;2
534;98:1;2
536;98:1;2
537;98:1;2
538;98:1;2
541;98:1;2
548;98:1;2
557;98:1;2
558;98:1;2
559;98:1;2
562;98:1;2
564;98:1;2
565;98:1;2
566;98:1;2
567;98:1;2
568;98:1;2
570;98:1;2
571;98:1;2
573;98:1;2
580;98:1;2
596;98:1;2
597;98:1;2
599;98:1;2
600;98:1;2
602;98:1;2
603;98:1;2
604;98:1;2
619;98:1;2
620;98:1;2
621;98:1;2
622;98:1;2
625;98:1;2
626;98:1;2
627;98:1;2
628;98:1;2
629;98:1;2
630;98:1;2
631;98:1;2
632;98:1;2
633;98:1;2
634;98:1;2
636;98:1;2
637;98:1;2
638;98:1;2
639;98:1;2
649;98:1;2
650;98:1;2
651;98:1;2
666;98:1;2
669;98:1;2
670;98:1;2
671;98:1;2
672;98:1;2
673;98:1;2
674;98:1;2
675;98:1;2
677;98:1;2
678;98:1;2
679;98:1;2
680;98:1;2
686;98:1;2
692;98:1;2
693;98:1;2
694;98:1;2
695;98:1;2
696;98:1;2
697;98:1;2
698;98:1;2
699;98:1;2
700;98:1;2
702;98:1;2
703;98:1;2
706;98:1;2
707;98:1;2
708;98:1;2
709;98:1;2
711;98:1;2
712;98:1;2
716;98:1;2
718;98:1;2
720;98:1;2
721;98:1;2
722;98:1;2
732;98:1;2
733;98:1;2
734;98:1;2
735;98:1;2
736;98:1;2
737;98:1;2
740;98:1;2
741;98:1;2
742;98:1;2
743;98:1;2
749;98:1;2
750;98:1;2
751;98:1;2
752;98:1;2
753;98:1;2
754;98:1;2
758;98:1;2
759;98:1;2
760;98:1;2
761;98:1;2
762;98:1;2
763;98:1;2
764;98:1;2
772;98:1;2
773;98:1;2
774;98:1;2
775;98:1;2
776;98:1;2
780;98:1;2
781;98:1;2
782;98:1;2
783;98:1;2
784;98:1;2
785;98:1;2
790;98:1;2
793;98:1;2
829;98:1;2
830;98:1;2
831;98:1;2
832;98:1;2
833;98:1;2
834;98:1;2
835;98:1;2
836;98:1;2
837;98:1;2
838;98:1;2
839;98:1;2
840;98:1;2
841;98:1;2
844;98:1;2
845;98:1;2
848;98:1;2
854;98:1;2
855;98:1;2
861;98:1;2
862;98:1;2
870;98:1;2
871;98:1;2
872;98:1;2
876;98:1;2
877;98:1;2
878;98:1;2
879;98:1;2
882;98:1;2
889;98:1;2
892;98:1;2
896;98:1;2
898;98:1;2
900;98:1;2
901;98:1;2
905;98:1;2
906;98:1;2
907;98:1;2
908;98:1;2
909;98:1;2
910;98:1;2
911;98:1;2
913;98:1;2
916;98:1;2
917;98:1;2
921;98:1;2
923;98:1;2
924;98:1;2
925;98:1;2
926;98:1;2
929;98:1;2
934;98:1;2
935;98:1;2
936;98:1;2
937;98:1;2
938;98:1;2
939;98:1;2
940;98:1;2
941;98:1;2
942;98:1;2
943;98:1;2
944;98:1;2
945;98:1;2
946;98:1;2
947;98:1;2
948;98:1;2
949;98:1;2
950;98:1;2
951;98:1;2
952;98:1;2
953;98:1;2
954;98:1;2
955;98:1;2
956;98:1;2
957;98:1;2
958;98:1;2
963;98:1;2
964;98:1;2
965;98:1;2
967;98:1;2
972;98:1;2
973;98:1;2
974;98:1;2
978;98:1;2
979;98:1;2
982;98:1;2
983;98:1;2
984;98:1;2
985;98:1;2
986;98:1;2
987;98:1;2
988;98:1;2
989;98:1;2
991;98:1;2
992;98:1;2
993;98:1;2
995;98:1;2
997;98:1;2
998;98:1;2
999;98:1;2
1000;98:1;2
1001;98:1;2
1002;98:1;2
1003;98:1;2
1004;98:1;2
1005;98:1;2
