id_customer; id_products; payment (pedido gratuito= 1 , tarjeta credito=2)
1010;98:01:00;2
1011;98:01:00;2
1012;98:01:00;2
1013;98:01:00;2
1014;98:01:00;2
1015;98:01:00;2
1016;98:01:00;2
1017;98:01:00;2
1018;98:01:00;2
1019;98:01:00;2
1020;98:01:00;2
1021;98:01:00;2
1022;98:01:00;2
1023;98:01:00;2
1024;98:01:00;2
1025;98:01:00;2
1026;98:01:00;2
1027;98:01:00;2
1028;98:01:00;2
1029;98:01:00;2
1030;98:01:00;2
1031;98:01:00;2
1032;98:01:00;2
1033;98:01:00;2
1034;98:01:00;2
1035;98:01:00;2
1038;98:01:00;2
1039;98:01:00;2
1040;98:01:00;2
1041;98:01:00;2
1042;98:01:00;2
1043;98:01:00;2
1044;98:01:00;2
1045;98:01:00;2
1046;98:01:00;2
1047;98:01:00;2
1048;98:01:00;2
1050;98:01:00;2
1054;98:01:00;2
1055;98:01:00;2
1058;98:01:00;2
1059;98:01:00;2
1060;98:01:00;2
1062;98:01:00;2
1063;98:01:00;2
1064;98:01:00;2
1065;98:01:00;2
1067;98:01:00;2
